Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
162.999,0,100,147.296,5.764,5.735,0,0,0
178.092,0,100,158.956,7.027,6.815,0,0,0
191.399,0,100,170.213,6.988,7.329,0,0,0
195.378,0,100,174.28,7.149,7.323,0,0,0
199.57,0,100,177.766,6.863,7.505,0,0,0
208.577,0,100,186.44,6.984,7.629,0,0,0
217.956,0,100,172.115,7.107,30.97,0,0,0
212.782,0,100,189.516,7.038,8.507,0,0,0
241.361,0,100,184.655,7.184,41.426,0,0,0
205.726,0,100,182.664,6.903,8.614,0,0,0
231.104,0,100,204.831,7.232,9.554,0,0,0
233.803,0,100,207.031,7.127,9.268,0,0,0
251.361,0,100,191.391,6.862,43.083,0,0,0
237.81,0,100,189.205,6.626,34.672,0,0,0
219.346,0,100,196.646,6.521,8.562,0,0,0
229.874,0,100,204.244,6.863,8.948,0,0,0
226.028,0,100,201.812,7.039,8.67,0,0,0
219.448,0,100,194.338,7.345,9.172,0,0,0
222.03,0,100,197.025,7.019,9.266,0,0,0
222.973,0,100,197.819,6.913,9.449,0,0,0
216.856,0,100,193.546,6.846,8.811,0,0,0
222.259,0,100,198.145,6.795,9.142,0,0,0
223.984,0,100,197.934,6.952,9.531,0,0,0
248.588,0,100,206.191,6.825,27.296,0,0,0
266.083,0,100,202.619,7.052,48.253,0,0,0
233.599,0,100,179.654,6.866,38.729,0,0,0
210.073,0,100,188.511,6.639,8.095,0,0,0
208.392,0,100,186.208,7.072,7.928,0,0,0
241.372,0,100,192.785,7.082,32.897,0,0,0
216.231,0,100,193.449,6.917,8.9,0,0,0
228.918,0,100,204.097,7.21,9.062,0,0,0
238.402,0,100,204.937,6.869,18.091,0,0,0
259.077,0,100,200.707,6.919,42.919,0,0,0
229.596,0,100,204.879,6.828,9.759,0,0,0
230.598,0,100,205.154,6.809,9.655,0,0,0
264.319,0,100,202.498,7.12,45.811,0,0,0
208.912,0,100,188.658,6.784,7.172,0,0,0
208.467,0,100,187.185,6.977,7.418,0,0,0
217.254,0,100,196.47,6.813,6.99,0,0,0
214.475,0,100,192.445,6.853,7.807,0,0,0
235.266,0,100,197.789,6.786,23.015,0,0,0
