Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
1181.53,0.120762,12.8806,135.518,100,115.35,2.40858,9.00797,0
12002.8,0.937011,13.6406,141.724,100,120.916,2.82975,9.21659,0
1268.83,0.205056,16.82,186.349,100,163.017,4.43556,9.99802,0
1199.02,0.0597506,13.1552,156.605,100,132.238,2.68898,11.1041,0
985.57,0.127872,13.3,152.785,100,129.646,2.72373,10.4533,0
3331.09,0.431888,14.875,163.536,100,140.877,3.48289,9.80838,0
1017.49,0.177365,14.0806,146.978,100,127.154,2.89831,8.76429,0
1074.53,0.138909,14.3448,157.34,100,135.557,3.14736,9.54329,0
825.479,0.0975969,14.6379,158.16,100,136.415,3.22814,9.50516,0
1145.73,0.193349,14.5484,146.784,100,127.067,3.20218,8.59565,0
1787.96,0.158854,15.4364,166.39,100,142.946,3.55413,10.0948,0
1472.9,0.126899,14.34,184.356,100,156.782,3.29052,12.4765,0
1020.17,0.0745321,12.9062,140.321,100,119.314,2.54395,9.48447,0
1142.4,0.135244,16.7083,190.878,100,165.437,4.02848,11.0815,0
1175.8,0.0314807,13.7593,171.321,100,145.409,2.89887,11.6841,0
1269.89,0.204167,13.2941,133.704,100,114.885,2.62859,8.29976,0
2128.26,0.301631,13.5942,129.639,100,112.317,2.68213,7.55309,0
1034.47,0.164802,12.7538,139.447,100,118.758,2.47575,9.4408,0
1297.13,0.154199,14.5088,161.985,100,138.398,3.15023,10.5365,0
994.737,0.145876,16.1373,179.027,100,154.836,3.83116,10.5119,0
801.249,0.0877664,14.6607,162.482,100,139.234,3.20263,10.3188,0
1272.3,0.191285,15.0164,148.27,100,129.046,3.39733,8.20897,0
1313.69,0.083972,13.0656,150.307,100,127.097,2.57461,10.5473,0
932.849,0.0249686,13.0517,146.677,100,124.73,2.62352,9.91288,0
1541.44,0.210091,14.4286,161.917,100,139.388,3.10807,10.0568,0
1524.84,0.121962,13.4737,160.567,100,135.662,2.79647,11.2292,0
1052.49,0.0834301,13.7544,157.97,100,135.594,2.89451,10.0177,0
1436.1,0.143153,13.6207,156.282,100,133.218,2.84948,10.3,0
1106.83,0.109153,14.7797,155.592,100,133.665,3.24168,9.73924,0
787.212,0.087073,14.4655,156.892,100,135.022,3.17795,9.60521,0
1009.93,0.0634686,16.9796,188.076,100,163.554,4.27118,10.3269,0
1182.22,0.151473,13.125,142.884,100,121.638,2.61831,9.53562,0
999.216,0.0249709,13.7885,159.016,100,134.958,2.90029,10.6866,0
5408.96,0.551761,14.4444,143.237,100,123.038,3.10163,8.79941,0
1242.8,0.185471,14.0806,147.446,100,127.321,2.93205,8.87671,0
1042.72,0.0630772,14.5179,163.566,100,140.213,3.18641,10.3931,0
874.673,0.131146,14.3621,155.179,100,133.425,3.083,9.63109,0
1557.33,0.198714,13.6508,142.919,100,122.019,2.75163,9.43981,0
39517,1.71446,15.0893,164.402,100,141.949,3.44998,9.80964,0
3147.63,0.418853,14.4912,161.439,100,138.866,3.0923,10.0261,0
1126.7,0.0877266,12.8769,138.543,100,117.07,2.52032,9.58048,0
607.993,0.0792746,16.4706,179.207,100,155.395,3.90469,10.3661,0
1436.37,0.165844,13.4167,152.225,100,130.501,2.71065,9.83475,0
1079.23,0.180635,18.7347,193.007,100,169.635,5.45888,9.53984,0
1285,0.144863,17.625,190.774,100,166.205,4.4891,10.5673,0
1623.77,0.250822,13.5075,134.035,100,114.948,2.68634,8.4893,0
1629.29,0.236217,13.6949,156.239,100,135.171,2.89022,9.29636,0
30164.1,1.44958,14.0159,144.795,100,124.553,2.93752,8.95332,0
957.896,0.150828,12.9219,142.01,100,120.825,2.504,9.67314,0
926.109,0.106592,13.1538,138.829,100,118.791,2.59514,8.92685,0
1402.76,0.178627,14.0333,150.959,100,130.12,2.95487,9.23167,0
1445.79,0.189405,16.0392,181.597,100,156.104,3.78529,11.2207,0
1017.39,0.0455077,14.1607,164.297,100,140.211,3.03521,10.6107,0
1083.66,0.0323193,14.5926,170.463,100,145.165,3.15952,11.4314,0
1110.54,0.068409,14.963,170.215,100,146.302,3.35585,10.5141,0
700.721,0.0951647,15.7288,154.864,100,134.276,3.57288,8.73569,0
835.925,0.131092,15.0962,174.929,100,150.726,3.48892,10.6599,0
796.709,0.130934,16.2308,175.064,100,151.674,3.86867,10.1032,0
1167.3,0.0634471,13.8136,152.511,100,130.845,2.91512,9.58097,0
1156.37,0.0374392,13.6034,158.841,100,134.888,2.84872,10.7507,0
989.923,0.0998148,14.6667,158.981,100,136.62,3.17872,9.80807,0
