Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
404.979,55,100,331.689,49.992,19.133,0,0,0
173.167,22,100,154.286,6.528,6.775,0,0,0
178.813,22,100,158.719,6.241,7.075,0,0,0
181.875,22,100,160.349,6.626,7.466,0,0,0
196.794,23,100,175.445,6.984,6.916,0,0,0
198.699,23,100,175.087,7.27,9.385,0,0,0
191.702,23,100,170.633,7.058,7.192,0,0,0
189.366,23,100,168.227,7.065,7.207,0,0,0
190.832,23,100,170.067,7.051,7.118,0,0,0
184.258,23,100,162.905,7.035,7.255,0,0,0
184.913,23,100,164.497,7.037,7.159,0,0,0
186.097,23,100,164.969,6.902,7.11,0,0,0
185.544,23,100,163.657,6.905,7.372,0,0,0
188.679,23,100,167.125,6.888,7.843,0,0,0
195.908,23,100,174.512,6.882,7.72,0,0,0
213.199,24,100,188.503,6.033,7.92,0,0,0
233.31,27,100,209.808,7.487,8.516,0,0,0
235.867,27,100,212.821,7.503,8.41,0,0,0
236.16,27,100,212.584,7.502,8.476,0,0,0
251.732,27,100,225.695,7.682,10.103,0,0,0
330.371,32,100,298.431,8.143,13.317,0,0,0
401.965,36,100,360.067,11.384,18.613,0,0,0
466.032,41,100,408.58,23.222,20.339,0,0,0
531.448,46,100,466.146,25.29,28.594,0,0,0
478.005,43,100,426.253,22.3,19.911,0,0,0
505.548,45,100,443.837,25.51,27.029,0,0,0
527.819,47,100,461.56,27.82,27.348,0,0,0
536.842,48,100,468.885,30.338,27.558,0,0,0
556.587,49,100,487.302,31.977,26.729,0,0,0
579.997,49,100,513.48,27.506,28.575,0,0,0
536.575,49,100,473.083,29.066,24.091,0,0,0
