Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
686.918,0,100,611.668,52.338,12.466,0,0,0
587.844,0,100,506.705,64.602,8.856,0,0,0
603.101,0,100,500.882,63.635,30.6,0,0,0
634.688,0,100,544.748,67.15,12.399,0,0,0
668.616,0,100,544.14,72.589,41.861,0,0,0
385.196,0,100,315.472,56.304,7.503,0,0,0
463.726,0,100,330.227,91.893,34.602,0,0,0
341.844,0,100,241.385,90.936,5.258,0,0,0
338.851,0,100,250.615,78.904,4.721,0,0,0
344.703,0,100,265.508,71.024,4.078,0,0,0
334.51,0,100,247.528,78.43,4.535,0,0,0
363.603,0,100,282.72,71.919,4.37,0,0,0
347.782,0,100,263.588,75.593,4.184,0,0,0
368.901,0,100,266.638,92.712,5.242,0,0,0
343.265,0,100,271.357,63.089,4.146,0,0,0
350.357,0,100,270.436,71.745,4.131,0,0,0
331.562,0,100,271.653,51.586,4.369,0,0,0
363.711,0,100,269.757,84.157,5.303,0,0,0
357.484,0,100,284.822,64.748,4.071,0,0,0
337.308,0,100,272.756,56.337,4.17,0,0,0
361.037,0,100,278.116,74.903,4.074,0,0,0
362.873,0,100,271.036,83.71,4.019,0,0,0
345.868,0,100,269.816,68.082,4.114,0,0,0
372.878,0,100,286.614,78.355,3.958,0,0,0
354.609,0,100,267.133,79.623,3.949,0,0,0
353.837,0,100,271.033,74.717,4.127,0,0,0
342.455,0,100,269.9,64.42,4.234,0,0,0
345.195,0,100,287.151,49.874,3.966,0,0,0
355.413,0,100,265.219,81.769,4.047,0,0,0
340.66,0,100,278.131,54.772,3.995,0,0,0
353.912,0,100,258.738,86.101,5.123,0,0,0
