Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
1044.84,115,100,893.336,126.46,14.14,0,0,0
868.448,115,100,723.076,119.569,16.923,0,0,0
827.599,115,100,673.842,131.015,14.3,0,0,0
583.136,115,100,444.136,120.51,12.513,0,0,0
556.415,115,100,405.649,133.761,10.89,0,0,0
541.464,115,100,401.743,124.062,9.986,0,0,0
492.118,115,100,353.454,124.773,9.158,0,0,0
469.012,115,100,331.079,125.347,8.202,0,0,0
487.402,115,100,348.474,126.238,8.256,0,0,0
424.061,102,100,332.403,79.641,7.534,0,0,0
409.692,91,100,283.65,114.099,7.507,0,0,0
387.841,87,100,282.154,93.265,7.962,0,0,0
410.253,87,100,293.885,104.591,7.417,0,0,0
409.049,89,100,303.32,93.828,7.646,0,0,0
391.788,89,100,297.973,82.183,7.682,0,0,0
434.458,91,100,312.749,109.905,7.553,0,0,0
419.737,92,100,314.454,93.312,7.833,0,0,0
425.582,92,100,308.919,105.204,7.374,0,0,0
54.026,12,100,41.374,1.393,6.753,0,0,0
59.137,13,100,45.515,1.731,7.171,0,0,0
67.516,15,100,53.521,2.24,7.153,0,0,0
65.478,15,100,53.808,2.266,4.747,0,0,0
55.125,12,100,44.216,1.521,4.757,0,0,0
56.629,12,100,44.725,1.515,5.698,0,0,0
55.495,12,100,44.22,1.619,4.942,0,0,0
55.2,12,100,44.139,1.51,4.83,0,0,0
54.906,12,100,43.593,1.5,4.887,0,0,0
56.322,12,100,45.22,1.505,4.818,0,0,0
59.823,12,100,46.359,1.514,7.181,0,0,0
56.117,12,100,44.939,1.457,4.851,0,0,0
58.132,12,100,46.823,1.544,5.027,0,0,0
60.636,14,100,48.887,1.96,5.048,0,0,0
72.15,16,100,59.083,2.558,5.411,0,0,0
81.045,19,100,67.044,3.458,5.536,0,0,0
92.998,21,100,79.314,4.059,4.721,0,0,0
88.112,21,100,74.554,4.045,4.711,0,0,0
93.374,23,100,78.32,5.153,4.982,0,0,0
101.217,25,100,86.3,5.327,4.803,0,0,0
104.056,26,100,88.836,5.439,5.11,0,0,0
107.789,27,100,92.513,5.791,4.702,0,0,0
114.373,28,100,97.905,6.097,4.869,0,0,0
122.248,28,100,106.404,6.067,5.012,0,0,0
125.163,31,100,105.823,7.41,7.2,0,0,0
129.475,33,100,110.955,7.29,6.149,0,0,0
143.321,36,100,121.091,9.023,8.473,0,0,0
158.455,37,100,139.641,8.29,5.737,0,0,0
155.593,36,100,136.349,8.328,5.791,0,0,0
151.31,36,100,132.729,8.244,5.694,0,0,0
