Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
2956.42,0.0651362,0,3101.12,100,2538.87,472.57,62.9149,0
5778.02,0.156821,0,3155.39,100,2556.3,529.629,46.0874,0
4879.7,0.153526,0,3075.19,100,2488.61,521.275,43.3104,0
2970.41,0.0747079,0,3481.93,100,2905.41,503.63,45.9178,0
3962.45,0.131767,0,3020.32,100,2455.97,508.874,34.2286,0
3241.38,0.125548,0,3023.01,100,2430.37,506.838,64.8727,0
6596.2,0.215481,0,4310.71,100,3604.1,513.477,162.217,0
6716.42,0.215476,0,4275.91,100,3559.84,521.277,163.974,0
3872.72,0.154842,0,4404.44,100,3663.55,538.283,170.348,0
5171.82,0.181084,0,4363.89,100,3638.07,529.041,165.651,0
5688.63,0.19448,0,4310.08,100,3605.99,505.249,167.695,0
3095.5,0.131794,0,4276.94,100,3579.74,504.736,162.213,0
5928.07,0.20328,0,4280.26,100,3568.47,517.715,163.387,0
4433.45,0.171439,0,4285.67,100,3581.93,508.039,164.863,0
4708.51,0.178688,0,4311.8,100,3595.4,520.044,165.086,0
4810.55,0.172928,0,5617.56,100,3834.81,1584.95,166.743,0
4050.6,0.170271,0,5759.02,100,3352.56,2227.37,150.861,0
4036.76,0.173819,0,5571.22,100,3348.32,2034.09,155.154,0
6680.97,0.215196,0,5839.16,100,3861.11,1768.78,177.202,0
5250.65,0.20988,0,5984.21,100,3522.45,2281.94,150.91,0
