Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
396.197,0,100,214.555,1.434,151.754,0,0,0
280.203,0,100,214.386,1.393,36.508,0,0,0
313.624,0,100,239.933,1.41,40.79,0,0,0
319.191,0,100,252.247,1.42,31.672,0,0,0
238.866,0,100,154.213,1.459,59.061,0,0,0
329.664,0,100,163.379,1.514,139.377,0,0,0
237.293,0,100,179.359,1.37,30.508,0,0,0
285.375,0,100,171.137,1.413,86.077,0,0,0
212.41,0,100,155.497,1.421,31.773,0,0,0
224.886,0,100,163.803,1.527,31.371,0,0,0
326.187,0,100,153.569,1.527,142.005,0,0,0
311.434,0,100,155.649,1.426,130.228,0,0,0
290.365,0,100,144.03,1.431,122.599,0,0,0
286.006,0,100,147.335,1.397,115.827,0,0,0
283.372,0,100,147.318,1.352,113.824,0,0,0
287.747,0,100,153.009,1.373,112.55,0,0,0
302.729,0,100,162.111,1.379,117.801,0,0,0
334.695,0,100,183.704,1.383,126.005,0,0,0
253.587,0,100,193.035,1.375,33.138,0,0,0
281.123,0,100,216.19,1.429,34.522,0,0,0
307.522,0,100,237.534,1.37,36.244,0,0,0
310.824,0,100,235.799,1.506,40.281,0,0,0
330.266,0,100,252.103,1.403,43.237,0,0,0
338.289,0,100,257.007,1.376,45.084,0,0,0
319.967,0,100,244.543,1.391,40.142,0,0,0
333.667,0,100,251.791,1.409,45.837,0,0,0
317.644,0,100,243.232,1.363,40.017,0,0,0
320.977,0,100,241.927,1.429,43.422,0,0,0
321.803,0,100,245.932,1.426,40.412,0,0,0
317.736,0,100,241.977,1.388,39.894,0,0,0
342.741,0,100,263.813,1.296,42.321,0,0,0
