Optimisation time (ms),num dofs,% derivs,derivs time (ms),BP time (ms),FP time (ms),surprise,expected,new cost
3186.63,154,100,2655.73,436.203,57.823,0,0,0
404.909,17,100,341.542,3.036,31.715,0,0,0
429.571,17,100,350.248,3.632,33.866,0,0,0
404.937,17,100,331.229,3.004,28.846,0,0,0
324.576,17,100,263.336,2.98,27.158,0,0,0
339.501,17,100,274.335,3.062,28.715,0,0,0
374.984,17,100,305.046,2.993,29.64,0,0,0
415.343,17,100,340.633,3.072,32.904,0,0,0
467.808,17,100,387.899,3.051,35.247,0,0,0
492.517,17,100,405.719,3.125,37.335,0,0,0
557.382,17,100,462.038,3.149,41.658,0,0,0
623.696,17,100,523.136,2.945,45.867,0,0,0
645.187,17,100,547.551,3.347,48.886,0,0,0
667.953,17,100,562.721,3.074,48.385,0,0,0
600.026,17,100,501.218,3.07,44.136,0,0,0
537.348,17,100,453.93,3.135,40.865,0,0,0
522.804,17,100,431.546,3.099,39.827,0,0,0
491.331,17,100,401.949,3.35,38.316,0,0,0
468.821,17,100,383.934,3.124,36.456,0,0,0
432.6,17,100,351.201,3.034,34.535,0,0,0
376.568,17,100,309.112,3.035,29.726,0,0,0
335.767,17,100,271.525,2.98,26.767,0,0,0
314.998,17,100,257.02,3.174,27.196,0,0,0
279.489,17,100,231.935,3.072,22.88,0,0,0
268.212,17,100,216.857,3.181,22.425,0,0,0
248.912,17,100,200.327,3.141,20.666,0,0,0
234.429,17,100,189.71,3.093,19.821,0,0,0
232.978,17,100,183.025,3.199,25.205,0,0,0
