Final cost,Final dist,Average dofs,Average optimisation time (ms),Average percent derivs,Average time derivs (ms),Average time BP (ms),Average time FP (ms),Average surprise
2493.86,0.0293494,55.6,1130.81,100,982.165,81.0061,37.8567,0
3940.03,0.0470955,30.6667,836.418,100,697.742,44.7733,48.2716,0
4982.56,0.0859288,26.6842,1049.6,100,865.845,49.2241,71.4008,0
2820.16,0.038747,24.8,1008.14,100,832.888,45.3062,67.5284,0
3452.34,0.0816672,19.6316,906.539,100,740.308,29.9953,72.2616,0
2813.55,0.0991362,20.2,947.951,100,781.691,28.7226,73.1441,0
5073.19,0.118432,21.1905,945.892,100,776.805,28.603,74.088,0
4818.72,0.104487,18.4545,880.951,100,715.933,25.2238,74.6227,0
2760.23,0.0944998,18.8095,863.23,100,706.786,26.4769,67.8527,0
3467.7,0.0409892,18.7619,888.789,100,729.266,25.4694,70.0582,0
4115.54,0.0988744,18.4545,875.09,100,715.308,24.3412,70.0455,0
2131.05,0.048779,20.05,923.405,100,756.273,29.3715,72.4479,0
3862.85,0.175301,25.04,756.83,100,631.949,25.3162,53.9388,0
3660.27,0.14402,83.5,1699.32,100,1379.56,256.855,36.8278,0
3513.51,0.1074,19.75,940.305,100,774.87,26.4193,72.2675,0
3244.56,0.0429906,19.0952,904.2,100,741.365,27.2209,71.3244,0
3440,0.100315,31.2353,1167.53,100,974.545,58.5576,71.7076,0
2561.14,0.0700354,21.7,966.82,100,802.47,29.392,71.7795,0
4606.07,0.0815601,18.4545,890.58,100,728.775,24.4313,72.1607,0
3218.43,0.0874565,18.7273,890.388,100,729.546,24.4363,70.8525,0
